,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
1099,College,Medical,Female,Divorced,53,26fe98f4-abea-4c5a-ba9e-5356d1f91bd8,0,0,3,26,,Francia,No,Travel_Rarely,Research & Development,5,Manager,18606,No,18,6,Very High,High,High,Medium
1100,Bachelor,Marketing,Male,Single,18,002a344a-ea6d-41f5-a33f-9579ce55a366,4,0,0,0,1.0,Francia,Yes,Travel_Frequently,Sales,1,Sales Representative,1878,Yes,14,3,Medium,High,,Very High
1101,Bachelor,Medical,Male,Divorced,26,a8a9745e-9b6b-4f5e-93ad-9129b68d0aa6,6,0,0,1,1.0,Finlandia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2377,No,20,0,Low,High,High,High
1102,College,Life Sciences,Male,Single,46,fc116b4c-c084-4773-8e33-296509414b4e,5,2,2,6,8.0,Carolina del Norte,No,Non-Travel,Sales,2,Sales Executive,7991,No,15,3,Medium,Medium,Medium,High
1103,College,Medical,Female,Single,34,47dfb6ed-0966-45ac-b6bd-f3dd6eec3e49,3,3,0,10,3.0,Italia,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6142,No,11,2,Medium,High,High,Very High
1104,,Medical,Male,Single,36,5feacba3-52ba-4237-8f0a-d79813658a14,0,3,4,16,4.0,Hawaii,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2519,No,21,6,High,High,High,High
1105,Bachelor,Marketing,Female,Single,20,0f524647-92b6-4f5a-977c-5639eff26ab3,1,0,1,2,1.0,Dinamarca,Yes,Travel_Frequently,Sales,1,Sales Representative,2323,Yes,14,3,Very High,High,Very High,Medium
1106,Master,Medical,Male,Divorced,34,df87f441-1e4c-4063-b80c-86c2459ca6b1,2,0,0,9,1.0,Arkansas,No,Travel_Rarely,Sales,3,Sales Executive,8628,No,18,2,Very High,High,,High
1107,Bachelor,Other,Female,Married,26,d42151cf-3f29-466b-bb61-fa9790c9dd74,1,4,2,5,1.0,Connecticut,No,Travel_Rarely,Research & Development,1,Research Scientist,2368,No,19,3,High,Medium,Medium,High
1108,College,Medical,Male,Married,36,3a07f427-c677-494c-8d2b-326d2dbf1da7,6,1,0,10,1.0,Utah,No,Travel_Rarely,Sales,3,Sales Executive,7596,No,13,2,Medium,Medium,High,Medium
1109,Below College,Other,Female,Single,29,d2af3b94-9fb6-45a6-bdd2-f2538d38dec2,7,4,5,9,0.0,Iowa,Yes,Travel_Frequently,Research & Development,3,Healthcare Representative,7553,Yes,12,1,High,High,Very High,Low
1110,Master,Life Sciences,Female,Married,31,6a0f8997-f4f1-4ea8-baab-08c9282db3ea,7,0,2,10,1.0,New Hampshire,No,Travel_Rarely,Sales,2,Sales Executive,5476,No,11,2,Low,High,Very High,Low
1111,College,Life Sciences,Male,Divorced,38,03973f1e-92f3-4afb-a7f9-48bdcc313ccb,1,2,6,12,0.0,Alemania,No,Travel_Rarely,Research & Development,3,Research Director,11510,Yes,14,3,High,Medium,Very High,Medium
1112,,Other,Male,Divorced,36,77392021-2601-4deb-9aa3-c985a53bd8ea,5,0,0,9,7.0,Suecia,Yes,Travel_Rarely,Research & Development,2,Laboratory Technician,4834,No,14,3,Low,High,High,Medium
1113,Bachelor,Medical,Female,Married,40,d2ba526a-116a-4c94-a8a1-22d686a65bc1,4,0,0,20,6.0,Polonia,No,Travel_Rarely,Research & Development,2,Laboratory Technician,3448,No,22,3,Medium,Medium,High,Medium
1114,Below College,Life Sciences,Male,Single,25,6cceb62f-1f76-4286-85b7-7b06dd6b77e9,3,1,0,1,1.0,Dakota del Norte,Yes,Travel_Frequently,Sales,1,Sales Representative,1118,Yes,14,4,High,Low,Very High,Very High
1115,Bachelor,Medical,Male,Single,27,b4a737ef-4105-4fd6-868a-a837102a3c84,2,0,0,6,2.0,Rumania,No,Travel_Frequently,Research & Development,1,Research Scientist,2580,No,13,0,Very High,High,Very High,High
1116,Below College,Life Sciences,Male,Divorced,31,9b7974a5-4f8a-4a94-b1c8-9c5dc5f58f4c,4,0,2,5,1.0,Vermont,No,,Research & Development,1,Research Scientist,2911,No,17,1,Low,High,High,Very High
1117,,Medical,Male,Married,25,0853cfc0-5aaa-431f-a4b5-16f9884141bd,2,0,0,7,1.0,Reino Unido,No,Travel_Rarely,Sales,1,Sales Representative,2096,No,11,1,Medium,High,High,High
1118,Master,Medical,Male,Married,28,2f7101f6-7c5c-4082-8803-b4dcd36cef86,4,1,0,6,1.0,Arizona,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3196,No,12,2,Very High,Medium,Low,High
1119,Below College,Life Sciences,Male,Married,49,fe8f29b0-9172-4afa-8d22-af26fa190973,5,3,2,28,3.0,Italia,No,Travel_Frequently,Research & Development,5,Research Director,19161,No,15,3,Medium,High,Very High,Very High
1120,College,Other,Male,Single,23,d35ec184-39e5-4295-9242-0b8588938b39,1,0,3,5,1.0,Italia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2647,No,13,6,Very High,High,Very High,High
1121,Bachelor,Marketing,Female,Married,53,d3ce6c9b-023e-433c-a533-702eab231f9f,2,5,7,30,2.0,Alemania,No,Travel_Frequently,Sales,3,Sales Executive,7525,No,12,2,High,Medium,Medium,Low
1122,,Life Sciences,Female,Divorced,29,da482558-73c4-429e-a7e5-2e9b5336eac6,4,0,1,8,0.0,Noruega,No,Travel_Frequently,Research & Development,1,Research Scientist,3291,No,14,2,Very High,High,Medium,Very High
1123,Master,Other,Male,Married,34,008939a5-6c48-448d-a437-e00a697f1a31,2,4,1,16,1.0,Francia,No,Travel_Frequently,Research & Development,2,Research Scientist,5747,Yes,15,3,High,Medium,Very High,Medium
1124,Bachelor,Marketing,Female,Married,42,c49dc9b2-e158-41e3-91a9-674c5add37b4,5,0,3,23,5.0,España,No,Travel_Frequently,Sales,4,Sales Executive,13525,No,14,2,High,High,Medium,Very High
1125,Master,Technical Degree,Male,Married,30,b7bb9f35-79dc-4bd9-a7f0-59313025ef55,7,1,2,9,3.0,Colorado,No,,Sales,3,Sales Executive,9250,No,12,3,High,High,Medium,Medium
1126,College,Life Sciences,Male,Single,42,eb020a54-fac9-4851-9a17-11166cc8c410,5,1,2,20,1.0,Indiana,No,Non-Travel,Research & Development,2,Research Scientist,4332,No,12,2,Very High,Medium,High,Very High
1127,Bachelor,Human Resources,Female,Married,27,3f602b58-fd71-4bca-8850-585cb1c0df91,3,0,0,1,1.0,Reino Unido,Yes,Travel_Frequently,Human Resources,1,Human Resources,2863,No,12,2,Low,Medium,Medium,Low
1128,Master,Other,Male,Divorced,35,72c673f7-3406-4df3-b3e5-61ac0e3fba71,3,0,1,5,1.0,Francia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,3743,Yes,24,2,High,Medium,Medium,Very High
1129,College,Medical,Male,Divorced,36,1d3e90e0-a43f-4cd2-be75-421b308e30e7,3,0,1,7,6.0,Luisiana,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4941,No,20,0,Medium,High,Medium,Very High
1130,Master,Other,Male,Single,35,31b5c3a5-34d5-445d-a64e-132dcb50b7e8,3,4,5,13,3.0,Nebraska,Yes,Travel_Frequently,Sales,2,Sales Executive,4581,Yes,24,2,Very High,High,Very High,Low
1131,Bachelor,Technical Degree,Male,Married,39,249211c0-ca7e-4a3e-8d98-11e7dd5e5f55,7,0,0,19,3.0,Alabama,Yes,Travel_Rarely,Sales,2,Sales Representative,2086,No,14,6,Very High,High,,High
1132,Bachelor,Life Sciences,Male,Married,48,894154a7-199f-4c65-b0f1-fa01a1865b07,1,8,5,29,4.0,Francia,No,,Research & Development,5,Research Director,19665,No,12,3,Very High,Medium,Medium,Very High
1133,Bachelor,Medical,Male,Divorced,34,ade6536b-d972-4def-9bdc-6ac20d567faa,1,0,6,16,7.0,Dakota del Sur,No,Travel_Frequently,Research & Development,4,Research Director,17007,No,14,3,Medium,High,Low,Very High
1134,Bachelor,Medical,Male,Married,43,69cee4ee-da38-42a7-8581-443ad25d1985,4,1,2,8,7.0,Kansas,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2258,No,20,1,Very High,High,Very High,Low
1135,College,Medical,Male,Married,45,2dbd2064-8693-48ca-b836-ca8221396ca8,6,4,0,22,9.0,Hungría,No,Non-Travel,Research & Development,4,Manager,16792,No,23,1,Low,Medium,Very High,Very High
1136,College,Life Sciences,Male,Divorced,41,7e5a4551-5dff-4529-a1b7-9f5455c9de10,4,0,0,17,2.0,Minnesota,No,Travel_Rarely,Research & Development,2,Research Scientist,3072,No,16,2,High,High,Low,Low
1137,College,Marketing,Male,Divorced,29,b7e140ae-919a-4374-9c1f-5e059716780b,4,0,2,10,2.0,República Checa,No,,Sales,2,Sales Executive,6931,No,14,2,Very High,High,,Very High
1138,Bachelor,Life Sciences,Male,Married,35,b0b6eef0-e567-4df8-9892-16fcc7b7ecc2,4,0,0,10,4.0,Polonia,No,,Research & Development,3,Healthcare Representative,7632,Yes,12,2,Very High,High,High,High
1139,College,Life Sciences,Male,Married,31,d806a3e3-dcfd-4a38-a5a4-f6d75809c176,5,2,0,4,1.0,California,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2218,No,12,3,Very High,Medium,Low,High
1140,Below College,Life Sciences,Male,Divorced,50,5e3fe9e9-4d6b-4e75-b454-d6fcb5624d60,3,0,5,28,3.0,Dinamarca,No,Travel_Rarely,Research & Development,5,Research Director,19144,No,14,4,Low,High,Medium,Low
1141,Bachelor,Life Sciences,Male,Single,27,3acb43b8-8114-46d7-907b-508f9bda58d2,3,0,4,5,1.0,Croacia,No,Travel_Rarely,Sales,2,Sales Executive,4478,Yes,11,3,Very High,High,High,Low
1142,Bachelor,Technical Degree,Female,Married,49,d6b4ade1-3b03-48e3-a8f4-e146a45f08ad,2,0,0,7,2.0,España,No,Travel_Rarely,Research & Development,1,Research Scientist,3580,No,16,2,High,High,Low,Medium
1143,Bachelor,Life Sciences,Female,Divorced,43,8d8d1d0d-23c2-4511-b173-92557becf511,0,0,0,4,4.0,Minnesota,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4765,No,21,2,Low,High,Medium,High
1144,Bachelor,Technical Degree,Male,Married,23,ff877f39-4eb6-43ad-ad2f-d96f0c1bae82,7,0,2,4,2.0,Virginia,No,Travel_Rarely,Research & Development,1,Research Scientist,2073,No,16,2,Very High,Very High,High,Very High
1145,Bachelor,Life Sciences,Female,Married,26,46cb7ea0-85ae-4012-b0de-01b73b12bdcc,7,0,0,1,1.0,España,No,Travel_Rarely,Research & Development,1,Research Scientist,2061,No,21,5,Low,High,,Low
1146,College,Medical,Male,Divorced,26,b4dc15ed-6349-4212-9666-47b83d447867,3,0,0,8,5.0,Finlandia,No,Travel_Rarely,Sales,2,Sales Executive,4306,No,12,5,Low,High,,
1147,Below College,Life Sciences,Female,Married,31,f51a69f4-8b12-4940-82b6-25c405086ca4,6,0,1,4,1.0,Suiza,No,Travel_Frequently,Research & Development,2,Manufacturing Director,4148,No,12,1,High,High,Low,High
1148,Bachelor,Technical Degree,Female,Married,30,859b2618-6683-4f3c-b4ff-034fa725a6b3,7,2,2,10,0.0,Luisiana,No,Travel_Rarely,Research & Development,2,Laboratory Technician,4627,No,12,6,Low,Medium,Very High,Low
1149,Master,Life Sciences,Female,Married,56,fc4e01ed-ead9-4194-aa98-9a76143f78f3,4,2,1,7,9.0,España,Yes,,Research & Development,1,Research Scientist,4963,Yes,18,2,Medium,High,,Low
1150,Bachelor,Life Sciences,Female,Married,24,7e83408e-85f9-4cb5-880b-f2a1661eca49,4,0,0,6,1.0,Washington,Yes,Travel_Frequently,Research & Development,1,Laboratory Technician,2886,Yes,16,4,Low,High,High,Very High
1151,Bachelor,Life Sciences,Male,Single,43,6defbbe0-ff8f-4d8e-88d8-2a40ac35fc7a,1,0,0,10,0.0,Rumania,No,,Human Resources,1,Human Resources,3539,No,13,5,Medium,High,Very High,Medium
1152,Bachelor,Life Sciences,Male,Married,39,8fb7cab0-a66c-44bc-97d3-405c765c90d6,3,2,5,9,1.0,Virginia Occidental,No,Non-Travel,Research & Development,2,Laboratory Technician,6472,Yes,15,2,Very High,High,Very High,Very High
1153,,Life Sciences,Male,Divorced,42,b9c7046a-b157-41fc-886e-a5071c30f19d,4,6,0,24,1.0,Nueva Jersey,No,Travel_Frequently,Research & Development,5,Manager,18430,No,13,4,Medium,High,,Medium
1154,,Life Sciences,Male,Married,36,2c9f9523-9d88-4b8a-a7bc-437b1ae27dc8,1,0,1,10,6.0,Finlandia,No,Travel_Rarely,Research & Development,2,Healthcare Representative,5347,No,14,2,Low,High,High,Medium
1155,Bachelor,Technical Degree,Male,Married,28,a6fb6835-9178-4498-b66d-33d5481f8dfe,6,1,1,5,3.0,Países Bajos,Yes,Travel_Frequently,Sales,1,Sales Representative,2909,No,15,3,Low,High,High,Very High
1156,Below College,Technical Degree,Male,Single,32,a6ac260e-7935-4b55-9da6-6c6ed63bd308,1,0,1,9,4.0,Arizona,No,Travel_Rarely,Research & Development,2,Laboratory Technician,2176,No,13,5,Very High,Medium,Low,Very High
1157,Bachelor,Life Sciences,Male,Single,19,73985439-1dbe-432e-a53b-58c1f3752e48,3,1,0,1,1.0,Italia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,1102,No,22,3,Medium,Medium,Very High,High
1158,College,Marketing,Male,Married,36,1d89503e-e96b-428c-8aa8-b45477c06dc4,6,1,0,12,2.0,Arizona,No,Travel_Rarely,Sales,2,Sales Executive,5507,No,16,1,High,Medium,Medium,High
1159,College,Life Sciences,Female,Married,30,f57b8919-f752-46cc-9560-dbd07c5ba446,3,1,0,9,0.0,Hungría,No,Travel_Rarely,Research & Development,3,Research Director,11416,Yes,12,4,Medium,Very High,Low,High
1160,Master,Life Sciences,Female,Divorced,35,a0efa163-1cfe-433e-8969-6f22fbd53121,5,0,0,16,2.0,Alabama,No,Non-Travel,Research & Development,2,Healthcare Representative,5093,No,11,2,Very High,High,,Low
1161,,Life Sciences,Male,Married,35,d912e487-a5ea-4095-b7c0-78c3037b3007,2,0,1,1,1.0,Florida,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2690,No,18,5,High,Medium,Very High,Very High
1162,Bachelor,Medical,Female,Divorced,49,1231397f-163b-4e50-b984-05f87e16536d,2,2,0,17,4.0,Noruega,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2587,Yes,16,2,Very High,High,Low,Medium
1163,Bachelor,Life Sciences,Female,Single,30,4e2ff83e-79fd-4a5b-a648-8f3ecefde863,6,0,4,5,1.0,Francia,No,Travel_Rarely,Research & Development,1,Research Scientist,2632,No,14,4,Low,High,High,High
1164,College,Medical,Male,Single,21,d7c930aa-cede-4297-9410-3246937fa1e4,5,1,0,3,1.0,Illinois,No,Travel_Rarely,Research & Development,1,Research Scientist,3230,No,17,4,Very High,Medium,High,Low
1165,Master,Marketing,Female,Single,33,bd1f8a24-9d76-437e-87a5-f24de383a335,1,0,3,6,0.0,Reino Unido,Yes,Travel_Rarely,Sales,2,Sales Executive,8224,Yes,17,3,Low,High,Low,Low
1166,,Life Sciences,Female,Single,35,942e1f37-f69c-4509-b109-b47671c1d7c0,6,3,0,11,1.0,Alaska,No,Travel_Rarely,Research & Development,3,Healthcare Representative,8606,No,19,3,Very High,Medium,Medium,Very High
1167,Bachelor,Life Sciences,Male,Single,28,7cce93c6-75f6-47a5-936e-ed97f19f41e0,2,0,1,6,5.0,Tennessee,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2028,Yes,14,4,High,Medium,High,Medium
1168,,Medical,Female,Divorced,29,61ff58d1-7e9a-4f87-be3c-db53b20078f6,1,0,2,8,6.0,Hungría,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2532,No,14,5,Low,Medium,Very High,High
1169,Master,Marketing,Male,Divorced,37,81ab37f2-6548-4e9d-870f-16c5375b9bb3,1,5,6,13,4.0,Dinamarca,No,Travel_Frequently,Sales,1,Sales Representative,2793,No,17,2,Low,High,Very High,High
1170,Bachelor,Life Sciences,Male,Single,18,cb2586fa-c5df-4a9b-aeef-f7feb221f8e6,3,0,0,0,1.0,Georgia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,1420,No,13,2,High,High,High,High
1171,Master,Life Sciences,Female,Married,45,9834abe1-2f37-4c9b-9cbe-bcbcc95900dd,1,1,4,10,4.0,Maine,No,Non-Travel,Sales,2,Sales Executive,5154,No,22,3,High,High,,Medium
1172,College,Life Sciences,Female,Single,34,9fdaa170-d7f0-4fb8-a5da-66c63d7416b2,2,0,0,6,5.0,Dinamarca,No,Travel_Rarely,Sales,2,Sales Executive,6029,No,12,3,Very High,Low,Very High,Low
1173,College,Life Sciences,Male,Married,39,ecffc90a-7c1a-4a11-b83a-b4e59b544f59,4,0,3,13,3.0,Francia,No,,Research & Development,3,Healthcare Representative,10920,No,21,2,High,High,,Medium
1174,Bachelor,Life Sciences,Male,Single,48,c2c3549f-ff06-463f-a351-2afd8b4e5b91,3,1,0,19,2.0,República Checa,No,Travel_Rarely,Research & Development,2,Healthcare Representative,4240,No,13,0,Low,Medium,High,Very High
1175,Bachelor,Medical,Male,Divorced,37,f34f344c-a0a5-4942-8b34-695f72c3fc87,5,0,0,17,6.0,Hawaii,Yes,Travel_Frequently,Research & Development,3,Manufacturing Director,10048,No,11,5,Low,High,High,Medium
1176,Master,Life Sciences,Male,Divorced,56,53a75d0b-b716-4254-96c8-c0c8f4a1067f,1,0,3,13,1.0,Dinamarca,No,Non-Travel,Research & Development,2,Healthcare Representative,6306,No,21,2,High,High,High,Low
1177,Below College,Life Sciences,Male,Divorced,23,248937c8-b3b6-4017-b716-262ae95ed4cd,2,0,2,4,1.0,Hawaii,No,Travel_Rarely,Research & Development,1,Research Scientist,2904,No,12,2,High,High,,High
1178,Master,Technical Degree,Male,Married,49,6ea6e714-a8a8-4fca-b6df-b4708d7fce28,6,0,0,22,6.0,República Checa,No,Travel_Rarely,Sales,4,Sales Executive,13120,No,17,3,Very High,Medium,,Medium
1179,Master,Medical,Female,Married,54,91264530-5d69-403c-bbb5-69607c8490b6,3,0,1,14,4.0,Texas,No,Travel_Rarely,Research & Development,2,Research Scientist,6854,No,15,2,Very High,High,Very High,Medium
1180,Below College,Technical Degree,Female,Single,24,02cc740d-e986-4f40-98cf-e69e56ce16d0,1,1,1,6,1.0,Suiza,Yes,Travel_Rarely,Sales,1,Sales Representative,3202,Yes,16,4,Low,High,Medium,Medium
1181,College,Medical,Male,Married,49,61b5965c-5e71-42c3-aaf1-077199148f15,1,0,0,23,2.0,Montana,No,Travel_Rarely,Research & Development,5,Manager,18711,No,13,2,Low,Medium,High,High
1182,Bachelor,Life Sciences,Male,Married,29,3ddec747-6a4d-4108-9f85-0d176b78fdb8,4,0,0,6,0.0,Italia,No,,Research & Development,1,Research Scientist,2703,No,23,3,High,High,Medium,Very High
1183,Bachelor,Medical,Male,Married,39,5ff7f961-d729-420d-aa36-ab88d559038e,5,0,0,7,4.0,Dinamarca,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5295,No,21,3,Very High,High,Medium,High
1184,College,Other,Female,Divorced,45,dc0c0326-679e-4087-acd7-b47758bc1b4c,5,1,3,10,1.0,Wyoming,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5770,No,19,3,Very High,Medium,Very High,Low
1185,Master,Life Sciences,Female,Divorced,29,a4ba2b33-98cf-4597-8110-459080dfed22,4,2,0,10,1.0,Kentucky,No,Travel_Rarely,Research & Development,3,Manufacturing Director,9980,No,11,1,Medium,Very High,Low,High
1186,Bachelor,Medical,Female,Married,58,9ddd2811-0bfc-433c-adb4-84169262d84d,3,0,1,32,3.0,Pensilvania,No,Travel_Rarely,Research & Development,5,Research Director,19701,Yes,21,3,Very High,High,,
1187,,Life Sciences,Male,Single,37,d9d437d3-45cf-413b-8b6d-0864a21405ef,2,1,3,12,2.0,Austria,No,Travel_Rarely,Sales,3,Sales Executive,7428,No,12,3,High,High,Very High,Low
1188,,Life Sciences,Male,Single,36,4d6def29-d986-4aef-ba89-342adc1e6283,4,0,5,10,1.0,Wyoming,No,Non-Travel,Sales,3,Sales Executive,7587,No,15,1,Low,Medium,Low,Medium
1189,Bachelor,Life Sciences,Female,Married,42,fd2ee25f-f5de-4d95-b10c-35f2f4353597,1,1,1,17,2.0,Dakota del Sur,No,Travel_Rarely,Research & Development,2,Laboratory Technician,5231,Yes,13,1,High,Very High,Very High,Medium
1190,Master,Technical Degree,Female,Single,39,f77c42cd-428e-4b44-899f-deb3a07fb1c5,5,7,1,20,0.0,Suecia,No,Travel_Frequently,Research & Development,3,Healthcare Representative,10938,No,25,1,High,High,,Very High
1191,Bachelor,Life Sciences,Female,Married,50,a574abfe-4f2c-4db6-b9dc-a6acdf9491b8,2,1,1,25,4.0,Nueva Jersey,No,Travel_Rarely,Research & Development,4,Research Director,16880,Yes,11,2,Very High,High,Low,Medium
1192,College,Medical,Male,Single,31,2f7093eb-8ec3-4935-b1a3-4fd69958483a,6,1,2,4,0.0,España,Yes,Non-Travel,Research & Development,1,Research Scientist,2321,Yes,22,0,High,Medium,,Low
1193,Doctor,Medical,Male,Married,48,8c4b81a2-abbb-4a35-9326-299428be8837,0,1,0,23,2.0,España,No,Travel_Frequently,Research & Development,4,Manager,15202,No,25,3,High,Medium,Very High,Medium
1194,Master,Life Sciences,Male,Married,32,c38389ad-5875-426b-9cba-5c97a36a12c0,6,2,5,10,1.0,Georgia,No,Travel_Frequently,Research & Development,2,Laboratory Technician,5309,No,15,2,Low,High,Very High,Very High
1195,,Life Sciences,Female,Single,31,00b31538-b07f-464e-b044-41c88a360965,2,1,5,10,1.0,New Hampshire,Yes,Travel_Frequently,Research & Development,3,Manufacturing Director,7446,No,11,2,High,Very High,Medium,Low
1196,Doctor,Life Sciences,Female,Single,38,4247ed23-df35-4363-80a7-d4d09db84062,4,3,1,10,1.0,Hungría,No,Travel_Frequently,Research & Development,2,Laboratory Technician,2406,No,11,2,Very High,High,Very High,Very High
1197,Bachelor,Life Sciences,Male,Divorced,22,e889e8fc-791c-4955-98c1-d0c536d9a482,6,2,0,4,1.0,Croacia,No,Travel_Rarely,Research & Development,1,Research Scientist,2328,Yes,16,2,Very High,Very High,Medium,Low
1198,Master,Medical,Male,Single,35,5cc2cb71-f45a-4b96-b58c-3c0fdb595d01,5,1,2,6,0.0,Massachusetts,No,Travel_Frequently,Research & Development,1,Research Scientist,4930,Yes,14,2,Low,Medium,,High
1199,,Marketing,Female,Single,38,5f49d553-367a-4b7f-aea5-9315d79b2bea,4,0,5,8,0.0,Suiza,No,Travel_Rarely,Sales,2,Sales Executive,4028,No,20,2,Very High,Medium,Very High,Low
1200,Bachelor,Medical,Female,Single,35,3f06a1cd-1af0-4ed0-a884-e341e9803c3b,6,1,1,10,5.0,Tennessee,No,Travel_Frequently,Research & Development,2,Laboratory Technician,4425,No,11,5,Medium,High,Medium,Very High
1201,Bachelor,Other,Female,Married,32,ecf44719-f6c8-4368-8d52-fd00ed2a4021,0,1,2,2,1.0,Noruega,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2743,No,20,2,High,Medium,Medium,High
1202,,Medical,Male,Single,34,97cb4cae-7500-4bc5-87ee-5d1f114c0a2d,2,0,0,8,2.0,Dakota del Norte,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2960,No,11,2,Medium,High,Low,High
1203,Bachelor,Life Sciences,Male,Divorced,38,451ebfe4-6823-46a3-a623-6d3753033276,3,1,1,13,2.0,República Checa,No,Travel_Frequently,Research & Development,2,Healthcare Representative,6288,No,15,3,Low,Medium,Low,High
1204,Bachelor,Technical Degree,Female,Single,29,fac9834c-5d8c-4a3e-97da-ad0abb5e494b,2,0,0,7,5.0,Wisconsin,Yes,Travel_Frequently,Sales,2,Sales Executive,5765,No,11,4,Low,High,Medium,Low
1205,Master,Marketing,Male,Single,32,b95c6a13-9757-4828-88b0-2326ca828f9d,0,1,0,7,7.0,Florida,Yes,Travel_Rarely,Sales,2,Sales Executive,9907,Yes,12,3,High,Medium,Medium,High
1206,Bachelor,Life Sciences,Female,Married,58,79513767-2a09-481e-aa0d-d9774b679f81,0,0,0,29,4.0,Misisipi,No,Travel_Rarely,Sales,4,Manager,17875,Yes,13,2,Very High,High,Very High,High
1207,Master,Marketing,Male,Divorced,40,94081465-3ba3-41d8-97de-1edb7c3f0fa3,4,0,0,11,2.0,Utah,No,Travel_Rarely,Sales,3,Sales Executive,9705,No,12,2,Low,Medium,,Medium
1208,Master,Medical,Male,Divorced,37,babd9d43-ecb9-4edc-b678-832ed2ee709c,3,1,3,6,1.0,Suecia,No,Travel_Frequently,Sales,2,Sales Executive,9525,No,14,2,High,Low,Very High,High
1209,Master,Marketing,Male,Single,40,6486a760-e946-4905-aaa0-2a440d290ce3,1,1,0,9,2.0,Luisiana,Yes,Travel_Rarely,Sales,3,Sales Executive,9094,Yes,12,2,Very High,Medium,Medium,High
1210,Master,Medical,Male,Single,48,3613cdb3-0161-459f-b84e-a207282a504d,0,1,1,27,2.0,Croacia,No,Non-Travel,Research & Development,4,Manager,16885,No,22,3,Low,Very High,Very High,High
1211,College,Medical,Female,Single,34,18fee2bf-12b3-427f-920d-bceaccabfe12,5,0,6,10,1.0,Finlandia,No,Travel_Rarely,Sales,2,Sales Executive,6125,No,12,6,High,High,Low,Very High
1212,Master,Life Sciences,Male,Married,34,532417a9-ed9f-4ce7-b9fe-18ae4eb33ad3,1,0,3,13,6.0,Portugal,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5957,No,13,3,Very High,Medium,Low,Medium
1213,Bachelor,Medical,Female,Divorced,38,2488d856-188c-45cc-881d-63ee6042d569,0,0,5,20,1.0,Hawaii,No,Travel_Frequently,Research & Development,2,Research Scientist,2133,Yes,16,3,Very High,Medium,Medium,High
1214,Master,Marketing,Male,Married,42,12771f00-c182-4b13-a024-4b054664c3bd,5,0,2,10,0.0,Polonia,No,Travel_Rarely,Sales,2,Sales Executive,6825,No,11,2,High,High,Medium,Very High
1215,Master,Medical,Male,Married,50,2fe3730b-40b4-4986-b449-dc9a8f01a2b9,3,1,0,29,2.0,Minnesota,No,Travel_Rarely,Research & Development,5,Research Director,19237,Yes,11,2,Medium,High,High,Very High
1216,Bachelor,Medical,Male,Married,35,e9a9e747-735d-42eb-9dae-59d241a8cb2d,2,4,0,15,9.0,República Checa,Yes,Travel_Rarely,Sales,3,Sales Executive,10306,No,17,3,Very High,Medium,Low,High
1217,College,Life Sciences,Female,Single,24,ed754c69-701a-42ca-b05c-782bd03f97e4,3,2,0,4,,Países Bajos,Yes,Travel_Rarely,Sales,2,Sales Executive,4577,No,14,3,Low,High,High,Low
1218,Bachelor,Marketing,Female,Married,34,9fe46ebf-1034-4e9f-85dd-dbacb77db52e,2,1,2,8,1.0,Nueva York,No,Travel_Rarely,Sales,2,Sales Executive,6712,No,21,2,Very High,Medium,High,Very High
1219,Below College,Medical,Male,Single,20,b6f42ac8-79f7-4402-a8fb-4d6ee758f622,4,0,1,1,1.0,Dinamarca,Yes,Travel_Rarely,Research & Development,1,Research Scientist,1009,Yes,11,5,Very High,High,High,Very High
1220,Bachelor,Medical,Male,Married,35,3bef16fc-d290-4f6f-a840-203abdedcce4,0,0,1,6,0.0,Pensilvania,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2426,No,13,5,Low,Very High,Medium,High
